nombre,especialidad,ciudad,pais,telefono,sitio_web
"REIKI ANGÉLICAL, TAROT ANGÉLICAL, FLORES DE BACH, REGISTROS AKASHICOS MÁSTER REIKI, NUMEROLOGÍA. CURSOS Y TALLERES",Terapeuta de reiki,Guadalajara,MX,+52 33 3781 9722,https://theinannaceremonias.my.canva.site/ellie-zamna
Heel Kuxtal Casa Holistica,Terapeuta de reiki,Guadalajara,MX,+52 33 1830 8471,https://www.silviagarcia22.com/
Curandera esoterismo y sanaciones,Terapeuta de reiki,Guadalajara,MX,+52 33 1604 4379,
Guia de Meditación Espiritual,,Guadalajara,MX,+52 33 2483 1673,
"Psicoterapeuta Jonatan Santos. BIODESCODIFICACION, CONSTELACIONES FAMILIARES.",Psicólogo,Guadalajara,MX,+52 33 1603 9841,https://www.youtube.com/@alphaeducaccion
Casa Contacto,Psicoterapeuta,Guadalajara,MX,+52 33 1448 8892,
"Tarot, Reiki, coaching, parapsicologo, sanacion espiritual, pnl e hipnosis",Terapeuta de reiki,Guadalajara,MX,+52 33 3808 7981,
Biodescodificacion y Constelaciónes Familiares RM,Centro de bienestar social,San Nicolás de los Garza,MX,+52 81 1028 1063,
Sandra Suarez - Coach Espiritual y Canalizadora de Angeles,,"Bogotá, Bogota",CO,+57 305 4597088,
Coach Espiritual y de Vida,Asesor,Bogotá,CO,+57 318 5632846,
Tomas Holguin - Terapeuta y conferencista,,Bogotá,CO,+57 300 6517553,http://www.tomasholguin.com/
Astrología y Tarot casa de 7 soles,Astrólogo,"Tláhuac, Ciudad de México",MX,+52 55 6910 3492,
TAROT DE LUNA,Vidente,"Cuauhtémoc, Ciudad de México",MX,+52 55 5547 4846,https://sites.google.com/view/tarotdeluna/inicio
Lectura del Tarot Mariscal,Astrólogo,Guadalajara,MX,+52 33 3826 4951,
Centro Espiritual Holistico Polo Blue Tarot,Centro espiritual,Guadalajara,MX,+52 33 1679 9946,
AURA Centro de Bienestar,Centro de meditación,Monterrey,MX,+52 81 1975 6724,https://aura.org.mx/
"Tarot, Lectura de Cartas, Psychic, Holístico",Vidente,Guadalajara,MX,+52 33 2285 5810,https://tarot-lectura-de-cartas-psiquica.negocio.site/
Farfalla Lunar Tarot,Vidente,"Cuauhtémoc, Ciudad de México",MX,+52 56 3368 8593,https://farfallalunar.com/
El Jardín de Venus Tarot,Tienda de artículos de magia,Zapopan,MX,+52 33 1222 5603,
Tarot & Conexión espiritual / Constelaciones Familiares /Registros akáshicos/ Limpiezas energeticas,Centro de salud y bienestar,Guadalajara,MX,+52 33 2926 5426,
Centro de Meditación Kadampa Guadalajara,Centro de meditación,Guadalajara,MX,+52 33 3550 0997,http://www.meditarenguadalajara.org/
"Harix Tarot, Reiki y mas",Vidente,Zapopan,MX,+52 33 1292 8372,https://www.instagram.com/harixtarot
Tarot y limpias para buena suerte,Astrólogo,Guadalajara,MX,+52 33 2865 0534,
Casa Tarot y Café,Cafetería,Guadalajara,MX,+52 33 3807 5075,https://linktr.ee/casa.tarotycafe
Lectura de Cartas,Servicios de clarividencia,Guadalajara,MX,+52 33 1720 3179,
Amarres de Pareja Eterno,Vidente,Guadalajara,MX,+52 33 3613 3447,https://amarresdeparejaeterno.com/
Lectura tarot yusuleica om,Vidente,"Gustavo A. Madero, Ciudad de México",MX,+52 55 2389 3673,
TAROT PROFESIONAL,Comercio,Guadalajara,MX,+52 33 2263 9672,https://www.facebook.com/brujoscatemacoveracruz
Tarot con Yoidram,Vidente,"Coyoacán, Ciudad de México",MX,+52 55 8510 6094,https://linktr.ee/Yoidram777
Tarotista Predictiva,Vidente,"Cuauhtémoc, Ciudad de México",MX,+52 55 6970 1790,
Lectura de cartas y tarot - El Portal Místico,Servicios de clarividencia,Guadalajara,MX,+52 663 457 1494,https://portalmistico.co/
Tarot en Coyoacán Oficial,Vidente,"Coyoacán, Ciudad de México",MX,+52 55 2952 4047,
Sanara Tarot,Vidente,"Cuauhtémoc, Ciudad de México",MX,+52 55 5211 3894,https://sanaratarot.com/
Sandra Cruz Transformados - Terapia de pareja en Bogotá,Psicoterapeuta,Bogotá,CO,+57 310 2662896,https://sandracruz.co/
Tarot Jade,Vidente,"Tlalpan, Ciudad de México",MX,+52 55 2538 6625,http://tarotjade.com/
